id,batchID,equinomeID,SNPChip,Year of Birth,Country Reported,sex
20180529_BTY001_002,20180529,BTY001_002,SNP670,2000,Great Britain,Male
20180529_BTY001_003,20180529,BTY001_003,SNP670,2002,Great Britain,Male
20180529_HNT001_001,20180529,HNT001_001,SNP670,2007,USA,Female
20180529_BTY001_001,20180529,BTY001_001,SNP670,2009,Great Britain,Male
20180529_DHS001_002,20180529,DHS001_002,SNP670,2014,Canada,Female
20180529_DOB001_076,20180529,DOB001_076,SNP670,2015,Australia,Female
20180529_DHS001_001,20180529,DHS001_001,SNP670,2015,Canada,Female
20180529_DOB001_073,20180529,DOB001_073,SNP670,2016,Australia,Male
20180529_DOB001_074,20180529,DOB001_074,SNP670,2016,Australia,Male
20180529_JIF001_002,20180529,JIF001_002,SNP670,2016,Great Britain,Male
20180529_HNT001_004,20180529,HNT001_004,SNP670,2016,USA,Male
20180529_DHS001_003,20180529,DHS001_003,SNP670,2016,Canada,Female
20180529_DHS001_004,20180529,DHS001_004,SNP670,2016,Canada,Female
20180221_CWN001_007,20180221,CWN001_007,SNP670,2013,Great Britain,Male
20180221_CWN001_010,20180221,CWN001_010,SNP670,2013,Great Britain,Male
20180221_CWN001_004,20180221,CWN001_004,SNP670,2014,Great Britain,Male
20180221_CWN001_008,20180221,CWN001_008,SNP670,2014,Great Britain,Female
20180221_CEH001_003,20180221,CEH001_003,SNP670,2014,New Zealand,Female
20180221_CWN001_001,20180221,CWN001_001,SNP670,2015,Great Britain,Male
20180221_CWN001_002,20180221,CWN001_002,SNP670,2015,Great Britain,Male
20180221_CWN001_003,20180221,CWN001_003,SNP670,2015,Great Britain,Male
20180221_CWN001_005,20180221,CWN001_005,SNP670,2015,Great Britain,Male
20180221_CWN001_006,20180221,CWN001_006,SNP670,2015,Great Britain,Male
20180221_CWN001_011,20180221,CWN001_011,SNP670,2015,Great Britain,Male
20180221_CWN001_012,20180221,CWN001_012,SNP670,2015,Great Britain,Male
20180221_CWN001_009,20180221,CWN001_009,SNP670,2015,Great Britain,Female
20180221_JER001_021,20180221,JER001_021,SNP670,2015,Great Britain,Female
20180221_CWN001_013,20180221,CWN001_013,SNP670,2016,Great Britain,Male
20180221_CWN001_014,20180221,CWN001_014,SNP670,2016,Great Britain,Male
20180221_JER001_020,20180221,JER001_020,SNP670,2016,Great Britain,Female
20180221_JER001_022,20180221,JER001_022,SNP670,2016,Great Britain,Female
20180221_JER001_023,20180221,JER001_023,SNP670,2016,Great Britain,Female
20180221_CEH001_004,20180221,CEH001_004,SNP670,2016,New Zealand,Female
20180207_CGR001_001,20180207,CGR001_001,SNP670,2008,USA,Female
20180207_KAK001_001,20180207,KAK001_001,SNP670,2011,Ireland,Male
20180207_KLA001_017,20180207,KLA001_017,SNP670,2011,South Africa,Female
20180207_BAH001_016,20180207,BAH001_016,SNP670,2013,Ireland,Male
20180207_BAH001_011,20180207,BAH001_011,SNP670,2014,Ireland,Male
20180207_BAH001_014,20180207,BAH001_014,SNP670,2014,Ireland,Male
20180207_BAH001_015,20180207,BAH001_015,SNP670,2014,Ireland,Male
20180207_BAH001_023,20180207,BAH001_023,SNP670,2014,Ireland,Male
20180207_TDV001_007,20180207,TDV001_007,SNP670,2014,Great Britain,Female
20180207_TDV001_010,20180207,TDV001_010,SNP670,2014,Great Britain,Female
20180207_BAH001_038,20180207,BAH001_038,SNP670,2014,Ireland,Female
20180207_BWS001_061,20180207,BWS001_061,SNP670,2014,,Female
20180207_BWS001_062,20180207,BWS001_062,SNP670,2014,,Female
20180207_JER001_019,20180207,JER001_019,SNP670,2015,Great Britain,Female
20180207_TGE001_043,20180207,TGE001_043,SNP670,2016,,Female
20180207_TAS001_005,20180207,TAS001_005,SNP670,2017,Ireland,Male
20180117_GDN001_974,20180117,GDN001_974,SNP670,2010,France,Male
20180117_CPS001_091,20180117,CPS001_091,SNP670,2010,Great Britain,Male
20180117_CPS001_085,20180117,CPS001_085,SNP670,2012,Great Britain,Female
20180117_LIP001_385,20180117,LIP001_385,SNP670,2013,Australia,Male
20180117_CPS001_102,20180117,CPS001_102,SNP670,2013,Great Britain,Male
20180117_TBS001_002,20180117,TBS001_002,SNP670,2013,Ireland,Male
20180117_LIP001_384,20180117,LIP001_384,SNP670,2013,Australia,Female
20180117_CPS001_086,20180117,CPS001_086,SNP670,2013,Great Britain,Female
20180117_CPS001_101,20180117,CPS001_101,SNP670,2013,Great Britain,Female
20180117_BAH001_021,20180117,BAH001_021,SNP670,2014,Ireland,Male
20180117_LNS001_007,20180117,LNS001_007,SNP670,2014,Ireland,Male
20180117_LNS001_013,20180117,LNS001_013,SNP670,2014,Ireland,Male
20180117_CPS001_095,20180117,CPS001_095,SNP670,2014,Great Britain,Female
20180117_CPS001_097,20180117,CPS001_097,SNP670,2014,Great Britain,Female
20180117_CPS001_103,20180117,CPS001_103,SNP670,2014,Great Britain,Female
20180117_CPS001_104,20180117,CPS001_104,SNP670,2014,Great Britain,Female
20180117_OTS001_001,20180117,OTS001_001,SNP670,2014,Great Britain,Female
20180117_CPS001_082,20180117,CPS001_082,SNP670,2015,Great Britain,Female
20180117_WTB001_063,20180117,WTB001_063,SNP670,2016,Australia,Male
20180117_WTB001_066,20180117,WTB001_066,SNP670,2016,Australia,Male
20180117_WTB001_074,20180117,WTB001_074,SNP670,2016,Australia,Male
20180102_SGF001_002,20180102,SGF001_002,SNP670,2010,USA,Female
20180102_SGF001_001,20180102,SGF001_001,SNP670,2011,USA,Female
20180102_SAM001_071,20180102,SAM001_071,SNP670,2012,Canada,Female
20180102_SAM001_074,20180102,SAM001_074,SNP670,2012,Canada,Female
20180102_SAM001_075,20180102,SAM001_075,SNP670,2012,Canada,Female
